,name,ingredients,steps,loves,url,description,image
0,Udang Sambal Petai (Sangat Sederhana),1/4 kg Udang--Petai 1 keris--Minyak secukupnya untuk menumis--sesuai selera Gula garam--Bumbu halus (diblender)--7 buah Cabe keriting--3 siung Bawang putih--4 siung Bawang merah--2 buah tomat--1/2 blok Terasi goreng ABC--secukupnya Air--,"Cuci semua bahan dan bumbu.--Blender bumbu dengan setengah gelas air.--Panaskan minyak dalam wajan.--Goreng udang yang sudah dibersihkan.--Masukkan petai. Masak sampe setengah matang.--Masukkan bumbu yang sudah dihaluskan dengan blender.--Beri gula garam dan saos tiram.--Koreksi rasa, hidangkan dengan nasi panas.--",7,/id/resep/4468455-udang-sambal-petai-sangat-sederhana,Ini nyontek resepnya Mbak Devi.Cristian tapi dg bahan seadanya.. enak juga ternyata 😋 ,https://img-global.cpcdn.com/recipes/f27d58363d32401a/680x482cq70/udang-sambal-petai-sangat-sederhana-foto-resep-utama.jpg
1,Sayur tempe mix tahu alaala kari,1/4 tempe dari 1 papan--5 buah tahu--2 keris pete--3 buah wortel ukuran sedang--800 ml Santan--Bumbu:--4 bawang merah--3 bawang putih--3 cm kunyit--2 cm jahe--2 butir kemiri--1/2 sdt ketumbar--1 sdm garam--secukupnya Gula--Penyedap rasa saya pakai royco ayam--Bumbu pelengkap:--3 cm laja--2 lbr daun salam--3 lbr daun jeruk--Minyak untuk menumis bumbu--,"Tempe potong kotak, goreng--Tahu potong serong, goreng--Kupas pete jangan dibelah--Kupas wortel, cuci lalu potong dadu kecil--Siapkan bumbu, cuci lalu haluskan kecuali laja, daun salam dan daun jeruk. Laja geprek aja.--Tumis bumbu sampai layu, masukan geprekan laja, daun salam dan daun jeruk. Beri sedikit air supaya meresap--Masukan santan, biarkan sampai mendidih.--Masukan pete, wortel, tempe dan tahu.--Masukan gula, penyedap. Aduk2, tes rasa--Masak sekitar 10 menit.--",5,/id/resep/4367062-sayur-tempe-mix-tahu-alaala-kari,,https://img-global.cpcdn.com/recipes/f0b8412e5ff7a0f3/680x482cq70/sayur-tempe-mix-tahu-alaala-kari-foto-resep-utama.jpg
2,Sambal ikan Lele,1/2 kg ikan lele (cuci bersih potong jd beberapa bagian)--10 buah cabe merah keriting--5 buah cabe rawit--2 buah tomat ukuran sedang--4 siung bw.merah--3 siung bw.putih--2 biji kemiri--1 cm jahe--1 cm Terasi bakar--1 bauh Jeruk sambal kecil--secukupnya Gula merah--Garam--Sedikit pucuk daun kemangi--,"Cuci bersih ikan lele (tips biar lele gak licin waktu mencuci tambahkan sedikit air panas dan air utk mencuci agar lendir berkurang) potong mjd beberapa bagian.--Balut ikan dengan bumbu racik ikan goreng beri sedikit perasan jeruk nipis. (Klo gaada bisa pake lada&garam)--Rebus cabai dan tomat hingga layu(agar mudah di haluskan). Sembari menunggu haluskan bw.merah,bw putih,kemiri,jahe,trasi bakar dan gula merah. Lalu haluskan bersama cabai dan tomat yg sudah di rebus. Beri irisan jeruk sambal.--Goreng lele sampai kering. Lalu tiriskan--Tumis sambal/bumbu yg sudah di haluskan sampai harum dan matang (lebih enak pakai minyak bekas menggoreng ikan lele) beri sedikit garam, Masukan kemangi dan lele yg sudah di goreng.--Tes rasa dan sajikan.--",5,/id/resep/4471791-sambal-ikan-lele,,
3,Orak arik telur daging sapi,1/2 kg Daging sapi--Bawang putih 1 bungkul cincang halus--Telur 5 biji kocok beri sedikit garam--Minyak wijen--Penyedap rasa--,Tumis bawang putih sampai harum masukkan daging sapi tumis--Masukkan telur yg sudah dikocok lepas aduk2 beri sedikit air--Masukkan minyak wijen dan penyedap rasa tunggu agak mengental angkat dan sajikan selamat mencoba 😄😄--,0,/id/resep/4468264-orak-arik-telur-daging-sapi,,https://img-global.cpcdn.com/recipes/7123adf1b8ec20af/680x482cq70/orak-arik-telur-daging-sapi-foto-resep-utama.jpg
4,Tumis Tahu Bubuk,8 Tahu Kuning--5 Siung Bawang Merah--4 Siung Bawang Putih--1 Buah Tomat--5 Cabai Rawit--Bawang Daun--Secukupnya Garam--Secukupnya Gula--Secukupnya Lada Putih--,"Tumbuk kasar tahu kuning. Sisihkan.--Tumis bawang merah, bawang putih, cabai rawit dan tomat hingga harum.--Masukan tahu yang sudah dihancurkan. Tambahkan garam, gula, lada putih, bawang daun dan sedikit air. Masak hingga air menyusut dan tahu matang. Sajikan.--",2,/id/resep/4472223-tumis-tahu-bubuk,,https://img-global.cpcdn.com/recipes/a5e2246125245ae8/680x482cq70/tumis-tahu-bubuk-foto-resep-utama.jpg
5,Bistik Rolade Sapi,1 stik rolade sapi/ayam (potong2)--1/2 bawang bombay (iris2)--2 sendok makan kecap asin (saya 1 sdm)--2 sdm saos sambal (saya 1 sdm)--1 sachet saos tiram--secukupnya Air--3 sdm kecap manis (saya 1 sdm)--secukupnya Gula pasir--Bumbu halus ; (saya dipotong)--4 siung bawang merah--2 siung bawang putih--1/2 sdt lada bubuk--Secukupnya garam--Bahan pelengkap :--Wortel (rebus)--Buncis (rebus)--Kentang (goreng)--,Siapkan rolade potong2.. goreng setengah matang--Tumis bumbu halus dan bawang bombay sampai harum..masukkan rolade + kecap asin + saos tiram + kecap manis + saos sambal aduk rata...tambah kan air matang..aduk rata..tes rasa.. jangan lupa tambah kan gula pasir aduk tes rasa kembali..😄--Biarkan air smp agak menyusut...angkat--Sajikan 😍 alhamdulillah si kecil makan sampai nambah 3x 😲😲😲😂😂😂😂--Selamat mencoba mom... 😄😍😘--,18,/id/resep/4454264-bistik-rolade-sapi,Ceritanya lagi tanggal tua tapi pengen makan enak 😂😂😂 buka kulkas kok ada rolade sapi ya... enak nya diapain niih?? 😅 akhirnya buka cookpad mari qta cari resep yang endooos... finally jatuh hati pada resep mba dhiah oddie... 😊 thanks ya mba... 😍😙,https://img-global.cpcdn.com/recipes/ac0d948c95110dfd/680x482cq70/bistik-rolade-sapi-foto-resep-utama.jpg
6,Nasi Bakar Ayam,"1 piring nasi--¹/⁴ fillet ayam, potong kotak, cuci bersih--Daun pisang yang sudah dibersihkan--Lidi/tusuk gigi untuk mengapit daun--1 lbr daun salam--3 cm serai, memarkan--1 ikat daun kemangi, opsional--1 cabe merah besar, iris tipis--1 sdt kecap manis--Minyak untuk menumis--100 ml air--Bumbu Halus:--1 cabe merah besar--3 cabe kecil--2 siung bawang merah--1 siung bawang putih--1 kemiri--1 cm kunyit--¹/² ruas jahe--¹/⁴ tomat--1 sdt gula pasir--1 blok kaldu ayam (aku biasa pake maggy) pake royco, masako--Merica (dikira2 z takar nya, aku sdkit z sih)--","Tumis bumbu halus, masukkan daun salam, serai--Masukkan potongan ayam, kecap dan air, masak hingga air menyusut dan koreksi rasa--Masukkan irisan cabe merah dan daun kemangi, aduk sebentar dan matikan api--Tata daun pisang, tata nasi di atas daun, beri isian ayam atau bisa juga nasi di campur dan diaduk dulu dengan ayam baru di tata di daun Pisang, bunbu ayam akan lebih meresap k nasi--Setelah nasi di bungkus, barulah nasi di bakar, aku bakar pake teflon z br cepet 😀😀--Sajikan selagi hangat 👍👍endeusss--Note: Jangan membakar terlalu lama biar nasi ga kotor dari daun yg di bakar kering--",1,/id/resep/4472552-nasi-bakar-ayam,"Dietnya ga teratur banget karna terlalu banyak godaan 😀😀 nasbak ini enak banget lho, kata suami lebih seneng bikinan istrinya karna udah beberapa kali beli di luar rasanya zonk semua 😛😛. Kalo bikinan sendiri bisa request suka2 😀😀, ayam sama nasi di banyakin biar kenyang nya sesuai,, sesuai dengan nafsu makan yg menggebu2 😀😀😀",https://img-global.cpcdn.com/recipes/0d6cbfdef86dad7d/680x482cq70/nasi-bakar-ayam-foto-resep-utama.jpg
7,Tahu ayam udang,3 bh Tahu cina putih--100 gr udang dikupas--200 gr dada ayam tanpa tulang--sedikit Daun bawang--3 sdm tepung sagu/tapioka--Garam--Lada--Penyedap--3 siung bawang merah--2 siung bawang putih--,"Potong tahu--Siapkan udang dan ayam--Haluskan / blender ayam dan udang, bawang merah, bawang putih, setelah halus tambahkan garam, lada penyedap dan irisan daun bawang--Tambahkan tepung sagu/tapioka serta sedikit air es--Bentuk dengan tahu sesuai selera--Kemudian dikukus sampai matang--Setelah matang, bisa langsung dinikmati atau digoreng--",5,/id/resep/4466174-tahu-ayam-udang,"Tahu ayam udang favorit anak2.. bisa ludes sekejap, 
Bisa jadi cemilan sore, atau jadi pendamping menu utama sajian dimeja makan.. enak dan pastinya bergizi tinggi ya👍",https://img-global.cpcdn.com/recipes/fe5941f6d9a9e216/680x482cq70/tahu-ayam-udang-foto-resep-utama.jpg
8,Oseng teri tempe cabe hijau,1 papan tempe (potong dadu kecil)--2 papan pete--3 buah cabe hijau besar (iris2 serong)--6 siung bawang putih (iris2 seperti biasa)--5 buah cabe merah (iris2 serong)--5 buah cabe rawit hijau (iris2 serong)--1 bulat bawang bombay--1 genggam kacang kapri (saya potong jadi 2)--1/4 teri asin yang sudah dicuci dan digoreng garing--4 sdm minyak goreng--Garam 1/2 sdt (secukupnya)--Gula 1sdt (secukupnya)--Sedikit air untuk menumis--secukupnya Bumbu penyedap ayam--Kecap manis 3 sdm atau secukupnya--secukupnya Lada--,"Tempe dipotong dadu kecil2 lalu digoreng hingga berubah warna kecoklatan. Angkat Lalu sisihkan di piring lain.--Goreng teri hingga garing. Hati2 jangan sampai gosong ya. Kalau sudah garing lalu angkat dan sisihkan ke piring yang lain juga.--Gunakan minyak goreng yang baru untuk menumis bawang bombay dan bawang putih--Jika bawang sudah agak kecoklatan warnanya,masukan cabe hijau,rawit hijau dan cabe merah..tumis hingga semua berbau wangi. Setelah itu masukan pete, kacang kapri. Tumis hingga agak layu sedikit tapi jangan terlalu layu..agar sayurnya masih terasa ada garing2nya jika dimakan.--Jika sudah agak layu lalu masukan tempe nya. Masukan garam,gula pasir,lada dan kecap manis. Tumis hingga bumbu rata. Lalu tambahkan sedikit air biar tidak terlalu kering tumisanya. Lalu masak dan diamkan sekitar 2 menit supaya airnya agak surut sedikit.--Terakhir masukan ikan terinya. Teri dimasukan terakhir agak ikan teri yg sudah digoreng garing tidak akan jadi melempem.--Sajikan bersama keluarga. Selamat menikmati :)--",0,/id/resep/4469231-oseng-teri-tempe-cabe-hijau,Kira kira mau masak apa ya hari ini ? Kebetulan baru dapat kiriman ikan teri dari tante di jakarta .Terus baru beli tempe juga beberapa hari . Ada cabe hijau dan pete juga di kulkas..kayanya enak kalo makan oseng2 hari ini hehehe...,https://img-global.cpcdn.com/recipes/ab2529002d5690eb/680x482cq70/oseng-teri-tempe-cabe-hijau-foto-resep-utama.jpg
9,Perkedel Tahu,10 buah tahu sutra--2 butir telur--3 siung bawang merah--2 siung bawang putih--secukupnya ketumbar bubuk--secukupnya daun bawang--secukupnya garam--,"Haluskan tahu sutra--Iris halus bamer, baput, dan daun bawang--Masukan telur, garam, ketumbar bubuk. koreksi rasa--Goreng hingga matang warna kecoklatan--Siap disajikan dengan nasi hangat--",3,/id/resep/4471345-perkedel-tahu,"Awal nya sih mau buat martabak tahu,  tp berhubung di rumah ga ada kulit lumpia, jd nya kita eksekusi perkedel tahu saja",https://img-global.cpcdn.com/recipes/733bb19594225b2b/680x482cq70/perkedel-tahu-foto-resep-utama.jpg
